Provincias;Edad (3 grupos de edad);Españoles/Extranjeros;Sexo;Año;Total
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Ambos sexos;2020;47.450.795
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Hombres;2020;23.255.590
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Mujeres;2020;24.195.205
TOTAL ESPAÑA;TOTAL EDADES;Españoles;Ambos sexos;2020;42.016.642
TOTAL ESPAÑA;TOTAL EDADES;Españoles;Hombres;2020;20.535.713
TOTAL ESPAÑA;TOTAL EDADES;Españoles;Mujeres;2020;21.480.929
TOTAL ESPAÑA;TOTAL EDADES;Extranjeros;Ambos sexos;2020;5.434.153
TOTAL ESPAÑA;TOTAL EDADES;Extranjeros;Hombres;2020;2.719.877
TOTAL ESPAÑA;TOTAL EDADES;Extranjeros;Mujeres;2020;2.714.276
TOTAL ESPAÑA;TOTAL EDADES;% Extranjeros;Ambos sexos;2020;11,45
TOTAL ESPAÑA;TOTAL EDADES;% Extranjeros;Hombres;2020;11,70
TOTAL ESPAÑA;TOTAL EDADES;% Extranjeros;Mujeres;2020;11,22
TOTAL ESPAÑA;0-15 años;TOTAL;Ambos sexos;2020;7.320.973
TOTAL ESPAÑA;0-15 años;TOTAL;Hombres;2020;3.764.324
TOTAL ESPAÑA;0-15 años;TOTAL;Mujeres;2020;3.556.649
TOTAL ESPAÑA;0-15 años;Españoles;Ambos sexos;2020;6.493.951
TOTAL ESPAÑA;0-15 años;Españoles;Hombres;2020;3.338.410
TOTAL ESPAÑA;0-15 años;Españoles;Mujeres;2020;3.155.541
TOTAL ESPAÑA;0-15 años;Extranjeros;Ambos sexos;2020;827.022
TOTAL ESPAÑA;0-15 años;Extranjeros;Hombres;2020;425.914
TOTAL ESPAÑA;0-15 años;Extranjeros;Mujeres;2020;401.108
TOTAL ESPAÑA;0-15 años;% Extranjeros;Ambos sexos;2020;11,30
TOTAL ESPAÑA;0-15 años;% Extranjeros;Hombres;2020;11,31
TOTAL ESPAÑA;0-15 años;% Extranjeros;Mujeres;2020;11,28
TOTAL ESPAÑA;16-64 años;TOTAL;Ambos sexos;2020;30.911.441
TOTAL ESPAÑA;16-64 años;TOTAL;Hombres;2020;15.503.734
TOTAL ESPAÑA;16-64 años;TOTAL;Mujeres;2020;15.407.707
TOTAL ESPAÑA;16-64 años;Españoles;Ambos sexos;2020;26.676.038
TOTAL ESPAÑA;16-64 años;Españoles;Hombres;2020;13.383.065
TOTAL ESPAÑA;16-64 años;Españoles;Mujeres;2020;13.292.973
TOTAL ESPAÑA;16-64 años;Extranjeros;Ambos sexos;2020;4.235.403
