Provincias;Edad (3 grupos de edad);Españoles/Extranjeros;Sexo;Año;Total
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Ambos sexos;2021;47.385.107
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Hombres;2021;23.222.953
TOTAL ESPAÑA;TOTAL EDADES;TOTAL;Mujeres;2021;24.162.154
TOTAL ESPAÑA;TOTAL EDADES;Españoles;Ambos sexos;2021;41.944.959
TOTAL ESPAÑA;TOTAL EDADES;Españoles;Hombres;2021;20.497.801
TOTAL ESPAÑA;TOTAL EDADES;Españoles;Mujeres;2021;21.447.158
TOTAL ESPAÑA;TOTAL EDADES;Extranjeros;Ambos sexos;2021;5.440.148
TOTAL ESPAÑA;TOTAL EDADES;Extranjeros;Hombres;2021;2.725.152
TOTAL ESPAÑA;TOTAL EDADES;Extranjeros;Mujeres;2021;2.714.996
TOTAL ESPAÑA;TOTAL EDADES;% Extranjeros;Ambos sexos;2021;11,48
TOTAL ESPAÑA;TOTAL EDADES;% Extranjeros;Hombres;2021;11,73
TOTAL ESPAÑA;TOTAL EDADES;% Extranjeros;Mujeres;2021;11,24
TOTAL ESPAÑA;0-15 años;TOTAL;Ambos sexos;2021;7.183.373
TOTAL ESPAÑA;0-15 años;TOTAL;Hombres;2021;3.692.744
TOTAL ESPAÑA;0-15 años;TOTAL;Mujeres;2021;3.490.629
TOTAL ESPAÑA;0-15 años;Españoles;Ambos sexos;2021;6.366.354
TOTAL ESPAÑA;0-15 años;Españoles;Hombres;2021;3.272.369
TOTAL ESPAÑA;0-15 años;Españoles;Mujeres;2021;3.093.985
TOTAL ESPAÑA;0-15 años;Extranjeros;Ambos sexos;2021;817.019
TOTAL ESPAÑA;0-15 años;Extranjeros;Hombres;2021;420.375
TOTAL ESPAÑA;0-15 años;Extranjeros;Mujeres;2021;396.644
TOTAL ESPAÑA;0-15 años;% Extranjeros;Ambos sexos;2021;11,37
TOTAL ESPAÑA;0-15 años;% Extranjeros;Hombres;2021;11,38
TOTAL ESPAÑA;0-15 años;% Extranjeros;Mujeres;2021;11,36
TOTAL ESPAÑA;16-64 años;TOTAL;Ambos sexos;2021;30.890.906
TOTAL ESPAÑA;16-64 años;TOTAL;Hombres;2021;15.497.164
TOTAL ESPAÑA;16-64 años;TOTAL;Mujeres;2021;15.393.742
TOTAL ESPAÑA;16-64 años;Españoles;Ambos sexos;2021;26.651.738
TOTAL ESPAÑA;16-64 años;Españoles;Hombres;2021;13.371.711
TOTAL ESPAÑA;16-64 años;Españoles;Mujeres;2021;13.280.027
TOTAL ESPAÑA;16-64 años;Extranjeros;Ambos sexos;2021;4.239.168
TOTAL ESPAÑA;16-64 años;Extranjeros;Hombres;2021;2.125.453
TOTAL ESPAÑA;16-64 años;Extranjeros;Mujeres;2021;2.113.715
TOTAL ESPAÑA;16-64 años;% Extranjeros;Ambos sexos;2021;13,72
TOTAL ESPAÑA;16-64 años;% Extranjeros;Hombres;2021;13,72
